RecA (998)	SSBa (1008)	RecJ (832)	RecQ (953)	RecF (801)	RecO (916)	RecR (986)	RecB (266)	RecC (265)	RecD (704)	AddA (548)	AddB (486)	AdnA (144)	AdnB (141)	I-A (14)	I-B (226)	I-C (192)	I-D (28)	I-E (253)	I-F (127)	I-G (55)	I (1)	III-A (108)	III-B (112)	III-C (27)	III-D (80)	III-F (2)	III (1)	IV-A (6)	IV-B (3)	IV-C (0)	IV-D (3)	IV-E (0)	IV (1)	II-A (94)	II-B (2)	II-C (123)	V-A (7)	V-B (1)	V-F (2)	V-K (7)	VI-A (6)	VI-B (10)	VI-C (1)	VI-D (1)	Cluster (83)
I-G (55)	-0.00669395594501959	0.0168753708787035	-0.229408545914808	0.0416658254181137	0.0161749573063024	0.00394608159303393	-0.0414922107979446	0.0451226561003827	0.0358034250428829	-0.0399586780137824	-0.12023547150467	-0.090575503296707	0.251773860296146	0.26863584706197	0.00895149168030005	-0.0865435430414034	-0.0825257151422616	0.0127489682352856	-0.0376040592087392	-0.0644037695857685	1	-0.00753196570608617	-0.0404247611142874	0.0544446237216678	-0.0396498925578813	0.0590637562805299	-0.010657074707365	-0.00753196570608617	-0.0184952190853602	0.0671135850952139	NA	-0.0130586574772527	NA	-0.00753196570608617	-0.0766310473544096	-0.010657074707365	-0.0757368466503164	-0.019987046361866	-0.00753196570608617	-0.010657074707365	-0.019987046361866	-0.0184952190853602	-0.0239247894080521	-0.00753196570608617	-0.00753196570608617	0.0396085301669198
I (1)	0.00385380825463317	0.00221393303121771	-0.0673956892957197	0.00788749176131375	0.0161719137401038	0.010229346129625	0.00520179422716607	-0.0187581610905714	-0.0187103487160817	-0.0474478822888774	-0.034125069657169	-0.0301871818352438	0.0772215271229968	0.0781732971700397	-0.00372126859213313	-0.0168452165038991	-0.0152015817562023	-0.00529993623079378	-0.0181369062527503	-0.0119013093322519	-0.00753196570608617	1	-0.0108591874989311	-0.0110829751531421	-0.00520179422716606	-0.00920479064649945	-0.00139813518057641	-0.000988142292490119	-0.00242644601692053	-0.00171320638462133	NA	-0.00171320638462133	NA	-0.000988142292490119	-0.0100534683459217	-0.00139813518057641	-0.0116860380525913	-0.00262216353377202	-0.000988142292490119	-0.00139813518057641	-0.00262216353377202	-0.00242644601692053	-0.00313876844047668	-0.000988142292490119	-0.000988142292490119	-0.00939090215624984
III-A (108)	-0.0106139971348495	0.0243300120628228	0.136076662701623	-0.157227114277741	-0.0424432029317604	-0.1267302017643	-0.141422864993723	-0.0680325673083745	-0.0746171083967839	-0.0559682388537565	0.093557913613223	0.0267982384418592	-0.122304400016243	-0.129671011293893	0.0960975417437522	0.214396321429108	-0.0119959966966284	0.0197997550004944	-0.0958645943244872	-0.0728324241573146	-0.0404247611142874	-0.0108591874989311	1	0.0822044677724579	0.200999256276773	0.0648850343269759	0.0566932792844604	-0.0108591874989311	-0.02666542304082	-0.0188272777072286	NA	0.0400370195687669	NA	-0.0108591874989311	-0.0663853096250592	-0.0153648034196279	-0.0696643407118987	-0.0288162602516833	-0.0108591874989311	-0.0153648034196279	-0.0288162602516833	0.0150198756325606	-0.0344934887109943	-0.0108591874989311	-0.0108591874989311	0.165036881788881
III-B (112)	-0.0349652912183657	-0.0200868356855642	0.131576549293755	-0.0848982805619376	-0.0507697168877468	-0.120624949639956	-0.156642928930221	-0.0386997386783385	-0.0451173519501039	-0.10143623200487	0.0405033544807377	0.00798053133776643	-0.134507224226853	-0.141774436468182	0.0391556559612631	0.264742525340391	0.0142321611690498	0.190178875216254	-0.0943387139955075	-0.0574329724601108	0.0544446237216678	-0.0110829751531421	0.0822044677724579	1	0.078466164793596	0.0601699492644741	-0.0156814434366669	-0.0110829751531421	-0.0272149478069624	-0.0192152728784781	NA	-0.0192152728784781	NA	-0.0110829751531421	-0.101909742280863	-0.0156814434366669	-0.111794104307823	0.00859045298180753	-0.0110829751531421	0.0552350842479024	0.0845915784889781	-0.0272149478069624	-0.0352043353489167	-0.0110829751531421	-0.0110829751531421	0.158660625286701
III-C (27)	0.0202872781419343	0.0116546211498539	0.0611840648044839	-0.24407953613278	-0.140861175582645	-0.154434319396622	-0.277026519420029	-0.0848190319450752	-0.0845504136495834	-0.129973344079765	0.0417415697333706	0.0251047279990122	-0.0673619704370874	-0.0665418296973108	0.137904288856696	0.249914103748654	-0.0643869209815131	0.00948452646857893	-0.0813179310804155	-0.0626510601263883	-0.0396498925578813	-0.00520179422716606	0.200999256276773	0.078466164793596	1	0.110618775728292	0.268779409472741	-0.00520179422716606	-0.0127733353579474	-0.00901868804644486	NA	-0.00901868804644486	NA	-0.00520179422716606	-0.0529236264880699	-0.00736008524925356	-0.0427531290671478	-0.0138036345942526	-0.00520179422716606	-0.00736008524925356	-0.0138036345942526	-0.0127733353579474	-0.0165231542847316	-0.00520179422716606	-0.00520179422716606	0.0399500742023134
III-D (80)	0.00559428890729397	-0.0316052617126312	-0.0545181452620269	-0.00405637393168557	0.0606667458068393	0.0579715057803012	0.0257310354411582	-0.083238167751377	-0.0826816050718437	-0.0444970965695461	0.00530772618032199	-0.0247714436920567	0.0799528524633672	0.0831651170311859	0.05939397576319	0.168382407444045	-0.0295382321301752	0.173897787663065	-0.0674797449978346	-0.0887563903011689	0.0590637562805299	-0.00920479064649945	0.0648850343269759	0.0601699492644741	0.110618775728292	1	-0.013023976132304	-0.00920479064649945	-0.0226029467319954	-0.0159589425779418	NA	0.0514010942197874	NA	-0.00920479064649945	-0.0684196986799715	-0.013023976132304	-0.0752383738490601	-0.0244261039656877	-0.00920479064649945	-0.013023976132304	0.0639440507387467	0.0728003242659684	-0.0292384068590165	-0.00920479064649945	-0.00920479064649945	0.152744985009227
III-F (2)	0.00545280263879837	0.00313252219028626	0.0207451722088879	-0.0830498414635956	-0.0317863404520922	-0.0611026044600356	-0.130709662111744	-0.0265411622829712	-0.0264735119421761	-0.0671346161135908	-0.00365654364055857	0.00180164756415073	-0.0181055106350006	-0.0178850736912789	-0.00526527057345578	0.0295822157310893	-0.0215089126488	-0.0074989476266733	-0.0256621408591718	-0.0168393149436118	-0.010657074707365	-0.00139813518057641	0.0566932792844604	-0.0156814434366669	0.268779409472741	-0.013023976132304	1	-0.00139813518057641	-0.0034332095345064	-0.00242403764734232	NA	-0.00242403764734232	NA	-0.00139813518057641	-0.0142247810746193	-0.0019782393669634	-0.0165347248539571	-0.0037101327548207	-0.00139813518057641	-0.0019782393669634	-0.0037101327548207	-0.0034332095345064	-0.00444108365127714	-0.00139813518057641	-0.00139813518057641	-0.0132873076901878
III (1)	0.00385380825463317	0.00221393303121771	0.014661802599189	0.00788749176131375	0.0161719137401038	0.010229346129625	0.00520179422716607	0.0526779937393115	0.0528126069419968	0.0208258460614533	-0.034125069657169	-0.0301871818352438	-0.0127962024231433	-0.0126404069965317	-0.00372126859213313	-0.0168452165038991	-0.0152015817562023	-0.00529993623079378	0.054482406134744	-0.0119013093322519	-0.00753196570608617	-0.000988142292490119	-0.0108591874989311	-0.0110829751531421	-0.00520179422716606	-0.00920479064649945	-0.00139813518057641	1	-0.00242644601692053	-0.00171320638462133	NA	-0.00171320638462133	NA	-0.000988142292490119	-0.0100534683459217	-0.00139813518057641	-0.0116860380525913	-0.00262216353377202	-0.000988142292490119	-0.00139813518057641	-0.00262216353377202	-0.00242644601692053	-0.00313876844047668	-0.000988142292490119	-0.000988142292490119	0.105223361509787
IV-A (6)	0.00946327038170332	0.00543645285315104	-0.0311628050318748	0.0193682358433461	-0.0235394763188477	0.0251188076459932	0.0127733353579474	0.041646149269524	0.041870128051975	-0.00474430408401074	-0.03216268066481	-0.0483754463936969	0.0422595271475638	0.0432936147304561	-0.00913781084151217	-0.0413644965919307	0.0611447743751181	-0.0130143292670281	0.014904118506409	-0.0292244192408864	-0.0184952190853602	-0.00242644601692053	-0.02666542304082	-0.0272149478069624	-0.0127733353579474	-0.0226029467319954	-0.0034332095345064	-0.00242644601692053	1	-0.00420688684182477	NA	-0.00420688684182477	NA	-0.00242644601692053	-0.0246869286028887	-0.0034332095345064	-0.0286958069721274	-0.0064388887213822	-0.00242644601692053	-0.0034332095345064	-0.0064388887213822	-0.00595829195630586	-0.00770744480659566	-0.00242644601692053	-0.00242644601692053	-0.0230599553379107
IV-B (3)	0.00668159733382728	0.00383843929465679	-0.0220026805340076	0.0136750560590604	-0.0612786653087212	0.0177352808729723	0.00901868804644485	-0.0325222405602518	-0.0324393451454293	-0.0428066073327452	0.013747549527788	-0.015974057908739	0.0298375860066191	0.0305677095852665	-0.00645180472426449	-0.0292056444543863	0.0663474896041259	-0.00918884320374598	-0.0314451307525642	-0.0206340719229678	0.0671135850952139	-0.00171320638462133	-0.0188272777072286	-0.0192152728784781	-0.00901868804644486	-0.0159589425779418	-0.00242403764734232	-0.00171320638462133	-0.00420688684182477	1	NA	-0.00297029702970297	NA	-0.00171320638462133	-0.0174303501517153	-0.00242403764734232	-0.0202608421426587	-0.0045462149952704	-0.00171320638462133	-0.00242403764734232	-0.0045462149952704	-0.00420688684182477	-0.00544188642965744	-0.00171320638462133	-0.00171320638462133	-0.0162816161738187
IV-C (0)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
