RecA (7145)	SSBa (7210)	RecJ (5714)	RecQ (6998)	RecF (6242)	RecO (6824)	RecR (7119)	RecB (1823)	RecC (1860)	RecD (5324)	AddA (3955)	AddB (3716)	AdnA (1298)	AdnB (1300)	S1A (46)	S1B (56)	SPARTA (60)	S2B (101)	LongA (83)	LongB (121)	Schlafen (9)	Any (445)
0	1.07531298584873e-05	0.0153003442078384	0.563638563059132	0.000800431803875138	1.98940268448383e-06	0	0.495138215215386	0.452688578165462	0.785582495599589	0.00379266005696665	0.027017315764625	0.471587301183915	0.592463887271518	0.765114603747618	0.481565500414177	0.310632425428073	0.779432845536419	0.146229353900284	0.665599276391829	0.785582495599589	0.602798197657209
1.07531298584873e-05	0	0.00483255006710964	0.0354845156944322	3.092394061599e-06	5.12923037376822e-15	0	0.00244977737463703	0.00205855723983996	4.97793328856317e-08	0.768185252947592	0.459983649833555	0.0631416086726876	0.147689009116628	0.708910458392014	0.674030178740426	0.665599276391829	0.564207049825469	0.520898712809613	0.529198401353662	0.854901677269236	0.471587301183915
0.0153003442078384	0.00483255006710964	0	0.000232859553711379	0.00412485435713075	0.0187653384149507	0.563638563059132	7.76504111010823e-10	5.77230763187941e-11	1.07531298584873e-05	0	0	0	0	0.00098913949633355	0.0183829689179396	0.000142904130688354	0.521275860536704	0.000206829267723256	7.75217378362958e-05	0.564703510684043	4.437380695446e-13
0.563638563059132	0.0354845156944322	0.000232859553711379	0	0	0	0	5.51392265180084e-13	7.75217378362958e-05	9.7873156660692e-07	0.0674066429460038	7.23852511373145e-05	9.68754600348478e-11	2.70592548368143e-10	0.292594105344933	0.233795597611654	0.213925128590228	0.0918771697831	0.293185368837254	0.0614678966183104	0.665599276391829	0.0105414682443301
0.000800431803875138	3.092394061599e-06	0.00412485435713075	0	0	0	0	6.53113946102047e-06	3.49020335578946e-07	0	0.0166504632095192	3.77083906144463e-05	0	0	0.888371921466595	0.157567914054279	0.495138215215386	0.822268879293189	0.896287110482816	0.296024217201806	0.325089914058854	0.83318150611125
1.98940268448383e-06	5.12923037376822e-15	0.0187653384149507	0	0	0	0	1.56319401867222e-13	1.44418928416101e-07	0	0.570929126523968	0.82449002827681	1.16230411961737e-10	2.55636818902825e-10	0.875215400710725	0.0989633644132109	0.087465466175968	0.0211616644588514	0.00791888780979628	0.169630496894304	0.563638563059132	0.0955849854131105
0	0	0.563638563059132	0	0	0	0	6.6315194884925e-05	0.0955849854131105	6.25515899240027e-14	0.888371921466595	0.339712994656986	9.30394800069401e-06	6.59819066811285e-05	0.475188662902615	0.996551467399154	0.410590743588131	0.255550304656885	0.00705858371538977	0.204844996797989	0.768185252947592	0.564703510684043
0.495138215215386	0.00244977737463703	7.76504111010823e-10	5.51392265180084e-13	6.53113946102047e-06	1.56319401867222e-13	6.6315194884925e-05	0	0	0	0	0	3.21869410978841e-06	1.99082248166062e-05	0.495138215215386	0.798603104785201	0.0128277272409695	0.00197287149405357	5.03543846688048e-05	0.000105128929446308	0.129554885465957	2.95640108139109e-11
0.452688578165462	0.00205855723983996	5.77230763187941e-11	7.75217378362958e-05	3.49020335578946e-07	1.44418928416101e-07	0.0955849854131105	0	0	0	0	0	3.49020335578946e-07	5.14688751323446e-06	0.465458896126881	0.564703510684043	0.0105292374755784	0.00141736265472684	3.65530378259038e-05	0.000162817601568192	0.124841533720355	6.76389379288653e-12
0.785582495599589	4.97793328856317e-08	1.07531298584873e-05	9.7873156660692e-07	0	0	6.25515899240027e-14	0	0	0	0	0	4.47326164500656e-05	2.1323531818519e-05	0.768185252947592	0.83093450694744	0.12107849144194	0.97604861215029	0.310632425428073	0.320285483561925	0.0125230799343169	0.0494238436343503
0.00379266005696665	0.768185252947592	0	0.0674066429460038	0.0166504632095192	0.570929126523968	0.888371921466595	0	0	0	0	0	0	0	0.00261032649393653	0.00424313230594062	2.11958804497669e-05	0.0298495183618968	0.564703510684043	1.32069236832669e-05	0.0863965400226016	5.86426773807602e-10
0.027017315764625	0.459983649833555	0	7.23852511373145e-05	3.77083906144463e-05	0.82449002827681	0.339712994656986	0	0	0	0	0	0	0	0.00164189420456765	0.00497698653708236	2.10019966229329e-06	0.0153003442078384	0.798175375291089	1.44418928416101e-07	0.129316515352067	1.07371889157548e-12
0.471587301183915	0.0631416086726876	0	9.68754600348478e-11	0	1.16230411961737e-10	9.30394800069401e-06	3.21869410978841e-06	3.49020335578946e-07	4.47326164500656e-05	0	0	0	0	0.00316976629049716	0.0607115973929804	0.000672345237446602	0.986554870109885	5.23284229853174e-05	0.0010437445964312	0.241459751973012	4.02226647051091e-10
0.592463887271518	0.147689009116628	0	2.70592548368143e-10	0	2.55636818902825e-10	6.59819066811285e-05	1.99082248166062e-05	5.14688751323446e-06	2.1323531818519e-05	0	0	0	0	0.00316661352510241	0.0605494409589452	0.000670487108272987	0.82449002827681	5.20249398644767e-05	0.00103124587852976	0.685505404778829	3.78933991103575e-10
0.765114603747618	0.708910458392014	0.00098913949633355	0.292594105344933	0.888371921466595	0.875215400710725	0.475188662902615	0.495138215215386	0.465458896126881	0.768185252947592	0.00261032649393653	0.00164189420456765	0.00316976629049716	0.00316661352510241	0	0.389027132815111	0.432114875874556	0.531442449581474	0.604846234272104	0.000470380463683453	0.843302721653963	0
0.481565500414177	0.674030178740426	0.0183829689179396	0.233795597611654	0.157567914054279	0.0989633644132109	0.996551467399154	0.798603104785201	0.564703510684043	0.83093450694744	0.00424313230594062	0.00497698653708236	0.0607115973929804	0.0605494409589452	0.389027132815111	0	1.31518727532519e-15	0.000559612755903365	0.744474117802166	0.957978198473337	0.83093450694744	0
0.310632425428073	0.665599276391829	0.000142904130688354	0.213925128590228	0.495138215215386	0.087465466175968	0.410590743588131	0.0128277272409695	0.0105292374755784	0.12107849144194	2.11958804497669e-05	2.10019966229329e-06	0.000672345237446602	0.000670487108272987	0.432114875874556	1.31518727532519e-15	0	0.474349004899279	0.779432845536419	0.432114875874556	0.830683637200093	0
0.779432845536419	0.564207049825469	0.521275860536704	0.0918771697831	0.822268879293189	0.0211616644588514	0.255550304656885	0.00197287149405357	0.00141736265472684	0.97604861215029	0.0298495183618968	0.0153003442078384	0.986554870109885	0.82449002827681	0.531442449581474	0.000559612755903365	0.474349004899279	0	0.538952226905826	0.0179061083985175	0.0233089505390352	0
0.146229353900284	0.520898712809613	0.000206829267723256	0.293185368837254	0.896287110482816	0.00791888780979628	0.00705858371538977	5.03543846688048e-05	3.65530378259038e-05	0.310632425428073	0.564703510684043	0.798175375291089	5.23284229853174e-05	5.20249398644767e-05	0.604846234272104	0.744474117802166	0.779432845536419	0.538952226905826	0	0.798603104785201	1.06467488860206e-08	0
